,0
0,1123
1,1146
2,1231
3,1256
4,1196
5,1132
6,1103
7,1053
8,1050
9,1108
10,1117
11,1035
12,1086
13,1111
14,1070
15,1149
16,1130
17,1137
18,1109
19,1174
20,1114
21,1058
22,1049
23,1121
24,1136
25,1196
26,1166
27,1167
28,1148
29,1107
30,1049
31,1175
32,1589
33,1387
34,1370
35,1212
36,1165
37,1255
38,1264
39,1304
40,1255
41,1301
42,1139
43,1162
44,1231
45,1241
46,1214
47,1221
48,1246
49,1198
50,1132
51,1213
52,1154
53,1044
54,1001
55,845
56,885
57,901
58,892
59,1012
60,961
61,972
62,1030
63,1055
64,974
65,1149
66,1020
67,1064
68,1017
69,1129
70,1087
71,976
72,1130
73,1110
74,1022
75,1126
76,1141
77,1058
78,1068
79,1150
80,1181
81,1138
82,1170
83,1227
84,1168
85,1181
86,1330
87,1375
88,1414
89,1469
90,1420
91,1450
92,1177
93,1120
94,1152
95,1203
96,1047
97,1008
98,910
99,963
100,1111
101,1084
102,1123
103,1193
104,1117
105,1097
106,1063
107,1223
108,1217
109,1234
110,1294
111,1293
112,1199
113,1404
114,1451
115,1528
116,1513
117,1652
118,1848
119,1671
120,1808
121,1666
122,1638
123,1412
124,1360
125,1269
126,1296
127,1114
128,1260
129,1207
130,1203
131,1201
132,1160
133,1112
134,1138
135,1207
136,1186
137,1148
138,1142
139,1175
140,1125
141,1116
142,1227
143,1245
144,1212
145,1277
146,1221
147,1158
148,1168
149,1353
150,1411
151,1483
152,1823
153,1563
154,1620
155,1306
156,1352
157,1290
158,1360
159,1292
160,1340
161,1131
162,1146
163,1293
164,1358
165,1351
166,1330
167,1369
168,1252
169,1331
170,1554
171,1536
172,1665
173,1790
174,1848
175,1669
176,1627
177,1928
178,2126
179,2242
180,2338
181,2500
182,2222
183,2358
184,2794
185,2832
186,2991
187,2938
188,3116
189,2763
190,2973
191,3417
192,3452
193,3320
194,3416
195,3400
196,2668
197,2433
198,2393
199,2163
200,2136
201,2089
202,2164
203,1797
204,1835
205,2177
206,2303
207,2279
208,2443
209,2480
210,2145
211,2363
212,2611
213,2497
214,2803
215,2968
216,3194
217,2866
218,2952
219,3502
220,3605
221,3701
222,3587
223,3560
224,3519
225,3066
226,3438
227,3381
228,3556
229,6456
230,4335
231,3145
232,2646
233,2609
234,2566
235,1996
236,1745
237,1436
238,1225
239,1170
240,1263
241,1166
242,1137
243,1080
244,1069
245,1006
246,1013
247,1256
248,1187
249,1055
250,1009
251,927
252,883
253,969
254,921
255,1068
256,1082
257,1088
258,945
259,1019
260,1107
261,1143
262,1203
263,1196
264,1187
265,1178
266,1180
267,1146
268,1370
269,1423
270,1506
271,1502
272,1321
273,1109
274,1096
275,1086
276,1088
277,1104
278,1071
279,1059
280,1131
281,996
282,1081
283,1210
284,1037
285,965
286,980
287,940
288,1012
289,1005
290,1086
291,1096
292,1129
293,995
294,1066
295,1000
296,971
297,995
298,1055
299,1091
300,1031
301,1018
302,937
303,1117
304,1156
305,1254
306,1227
307,1208
308,1112
309,1073
310,1193
311,1231
312,1193
313,1157
314,1154
315,1077
316,1068
317,1204
318,1192
319,1440
320,1326
321,1186
322,1112
323,1077
324,1148
325,1187
326,1141
327,1138
328,1125
329,1202
330,1012
331,1029
332,1165
333,1143
334,1141
335,1157
336,1042
337,1049
338,1143
339,1095
340,1111
341,1223
342,1173
343,1067
344,1066
345,1121
346,1134
347,1133
348,1074
349,1036
350,1020
351,979
352,956
353,1478
354,1202
355,1228
356,1163
357,1090
358,1069
359,1212
360,1312
361,1277
362,1295
363,1333
364,1196
