,0
0,681
1,821
2,1049
3,1425
4,1436
5,1456
6,1371
7,1077
8,968
9,1326
10,1327
11,1362
12,1337
13,1171
14,942
15,871
16,1334
17,1355
18,1174
19,995
20,949
21,778
22,717
23,986
24,968
25,862
26,726
27,696
28,585
29,507
30,390
31,421
32,474
33,452
34,577
35,591
36,577
37,949
38,1074
39,1415
40,1286
41,1171
42,1049
43,1012
44,1178
45,1244
46,1337
47,1299
48,1393
49,974
50,973
51,1399
52,1379
53,1286
54,1292
55,1081
56,754
57,857
58,1211
59,1325
60,1395
61,1393
62,1218
63,1164
64,946
65,1446
66,1237
67,1296
68,1294
69,1124
70,953
71,809
72,1133
73,1227
74,1261
75,1188
76,1218
77,754
78,820
79,1251
80,1178
81,1209
82,1224
83,1195
84,910
85,775
86,1088
87,1179
88,1195
89,1184
90,1048
91,990
92,645
93,624
94,721
95,1111
96,1110
97,1040
98,841
99,811
100,1147
101,1117
102,1111
103,1124
104,1071
105,661
106,658
107,1025
108,1078
109,1073
110,1136
111,1098
112,710
113,946
114,1034
115,1004
116,976
117,952
118,820
119,785
120,612
121,655
122,743
123,839
124,970
125,1131
126,1024
127,753
128,1069
129,1145
130,1100
131,1090
132,1041
133,730
134,722
135,960
136,1099
137,1077
138,1099
139,909
140,696
141,703
142,969
143,1093
144,1044
145,967
146,893
147,685
148,769
149,905
150,947
151,832
152,824
153,525
154,593
155,697
156,949
157,993
158,1034
159,1005
160,935
161,749
162,674
163,1018
164,1044
165,1075
166,1103
167,903
168,618
169,615
170,963
171,1138
172,1040
173,955
174,823
175,570
176,531
177,730
178,803
179,769
180,797
181,658
182,483
183,423
184,792
185,744
186,779
187,728
188,685
189,490
190,464
191,794
192,807
193,923
194,924
195,843
196,563
197,523
198,755
199,791
200,763
201,815
202,904
203,600
204,497
205,814
206,811
207,735
208,695
209,731
210,456
211,450
212,703
213,802
214,702
215,663
216,745
217,523
218,464
219,759
220,766
221,755
222,786
223,663
224,535
225,510
226,905
227,801
228,855
229,794
230,780
231,544
232,531
233,888
234,819
235,837
236,828
237,723
238,611
239,478
240,795
241,761
242,722
243,724
244,662
245,471
246,470
247,689
248,730
249,799
250,823
251,701
252,339
253,425
254,519
255,858
256,812
257,742
258,703
259,511
260,546
261,1009
262,923
263,793
264,773
265,757
266,542
267,566
268,817
269,733
270,737
271,671
272,654
273,371
274,380
275,423
276,453
277,456
278,423
279,544
280,648
281,693
282,769
283,860
284,806
285,801
286,799
287,625
288,618
289,853
290,876
291,1373
292,815
293,847
294,562
295,563
296,766
297,806
298,771
299,841
300,763
301,543
302,432
303,710
304,742
305,762
306,727
307,731
308,566
309,560
310,754
311,824
312,804
313,832
314,739
315,605
316,585
317,803
318,852
319,796
320,789
321,781
322,573
323,539
324,784
325,878
326,765
327,814
328,774
329,535
330,496
331,692
332,788
333,703
334,682
335,701
336,531
337,554
338,681
339,737
340,762
341,792
342,649
343,512
344,545
345,638
346,663
347,587
348,628
349,573
350,429
351,399
352,554
353,578
354,596
355,516
356,473
357,384
358,403
359,497
360,504
361,591
362,503
363,476
364,330
